@RELATION student_feedback

@ATTRIBUTE Student_Name STRING
@ATTRIBUTE Roll_No STRING
@ATTRIBUTE Department {CSE,ECE,EEE,MECH,CIVIL,IT}
@ATTRIBUTE Section {A,B,C}
@ATTRIBUTE Q1_Teaching NUMERIC
@ATTRIBUTE Q2_Content NUMERIC
@ATTRIBUTE Q3_Interaction NUMERIC
@ATTRIBUTE Q4_Resources NUMERIC
@ATTRIBUTE Q5_Overall NUMERIC

@DATA
Harsha Naidu,R1001,EEE,C,5.0,2.0,4.0,1.0,1.0
Aditya Sharma,R1002,CSE,C,4.0,4.0,4.0,3.0,3.0
Teja Rao,R1003,CIVIL,A,4.0,5.0,5.0,5.0,2.0
Rohan Kumar,R1004,EEE,C,1.0,2.0,2.0,4.0,2.0
Harsha Rao,R1005,IT,C,1.0,1.0,4.0,5.0,2.0
Sneha Rao,R1006,ECE,B,5.0,1.0,1.0,3.0,2.0
Ananya Naidu,R1007,IT,C,1.0,?,2.0,1.0,3.0
Pavani Rao,R1008,CIVIL,A,3.0,3.0,1.0,5.0,4.0
Divya Kumar,R1009,?,B,2.0,2.0,2.0,2.0,3.0
Keerthi Rao,?,CIVIL,A,2.0,5.0,2.0,1.0,4.0
Isha Sharma,R1011,EEE,B,4.0,3.0,?,3.0,3.0
Ananya Rao,R1012,EEE,B,1.0,3.0,3.0,5.0,5.0
Keerthi Reddy,R1013,IT,A,5.0,4.0,2.0,1.0,2.0
Rahul Reddy,R1014,EEE,C,1.0,3.0,1.0,5.0,3.0
Kavya Naidu,R1015,MECH,B,3.0,3.0,4.0,5.0,5.0
Teja Kumar,R1016,CSE,C,5.0,2.0,2.0,5.0,4.0
Keerthi Naidu,R1017,IT,B,2.0,5.0,2.0,1.0,2.0
Teja Kumar,R1018,EEE,A,4.0,5.0,4.0,4.0,3.0
Harsha Naidu,R1019,EEE,C,2.0,5.0,4.0,5.0,2.0
Vihaan Kumar,R1020,CIVIL,C,4.0,3.0,5.0,3.0,2.0
Arjun Naidu,R1021,ECE,C,2.0,2.0,5.0,3.0,5.0
Vihaan Rao,R1022,IT,C,4.0,2.0,1.0,2.0,?
Ananya Rao,R1023,IT,B,3.0,1.0,3.0,2.0,1.0
Rahul Kumar,R1024,EEE,B,4.0,2.0,3.0,4.0,3.0
Pavani Kumar,R1025,CSE,B,5.0,2.0,2.0,4.0,1.0
Pavani Kumar,R1026,EEE,C,?,4.0,4.0,3.0,5.0
Nikhil Sharma,R1027,?,B,2.0,4.0,5.0,4.0,5.0
Aarav Naidu,R1028,EEE,B,4.0,5.0,1.0,4.0,1.0
Kavya Naidu,R1029,IT,C,1.0,1.0,2.0,5.0,1.0
Diya Sharma,R1030,CIVIL,B,4.0,5.0,5.0,3.0,5.0
Rahul Kumar,R1031,ECE,B,1.0,4.0,2.0,3.0,1.0
Meera Sharma,R1032,MECH,B,3.0,2.0,5.0,4.0,1.0
Aarav Naidu,R1033,EEE,B,5.0,1.0,2.0,4.0,5.0
Nikhil Reddy,R1034,EEE,A,5.0,1.0,5.0,4.0,4.0
Pavani Reddy,R1035,EEE,A,5.0,1.0,1.0,1.0,1.0
Vihaan Rao,R1036,EEE,C,5.0,3.0,1.0,3.0,5.0
Diya Naidu,R1037,MECH,C,2.0,?,5.0,2.0,3.0
Pooja Rao,R1038,ECE,B,1.0,4.0,4.0,3.0,2.0
Sneha Rao,R1039,ECE,B,5.0,2.0,3.0,2.0,1.0
Ananya Naidu,R1040,?,B,4.0,2.0,2.0,5.0,2.0
Isha Reddy,R1041,EEE,B,2.0,3.0,3.0,2.0,5.0
Pooja Reddy,R1042,CIVIL,C,?,2.0,2.0,4.0,2.0
Pooja Sharma,R1043,CSE,C,4.0,4.0,3.0,3.0,4.0
Divya Naidu,R1044,MECH,A,2.0,5.0,4.0,1.0,2.0
Rohan Reddy,R1045,CSE,C,4.0,5.0,2.0,5.0,3.0
Aditya Sharma,R1046,CSE,C,3.0,2.0,2.0,2.0,1.0
Aditya Sharma,R1047,CIVIL,B,1.0,4.0,1.0,4.0,2.0
