@RELATION student_feedback_advanced

@ATTRIBUTE student_name STRING
@ATTRIBUTE pin_no NUMERIC
@ATTRIBUTE department {CSE,ECE,EEE,MECH,CIVIL}
@ATTRIBUTE section {A,B,C}
@ATTRIBUTE teaching_effectiveness NUMERIC
@ATTRIBUTE course_content NUMERIC
@ATTRIBUTE classroom_interaction NUMERIC
@ATTRIBUTE learning_experience NUMERIC
@ATTRIBUTE attendance NUMERIC
@ATTRIBUTE satisfaction {highly_satisfied,satisfied,dissatisfied}

@DATA
Pyxsozz_Uwyrrv,10000,CSE,C,3,5,1,5,64,satisfied
Jljsp_Jazemw,10001,CIVIL,C,1,2,5,5,81,satisfied
Yigyhjgi_Ksbpzjst,10002,?,A,2,2,5,?,61,satisfied
Pijcjsd_Cdbxdxdy,10003,CSE,A,3,?,2,?,91,satisfied
Robgpu_Nzhkrma,10004,CSE,A,5,1,2,5,62,satisfied
Znvxmdeo_Umirgos,10005,ECE,C,1,5,1,?,93,dissatisfied
Vmcwcn_Qlnpkiqb,10006,MECH,A,3,4,5,5,63,highly_satisfied
Qcwdneja_Rrdhvta,10007,?,C,4,1,4,4,80,satisfied
Wnkqo_Zzdtmc,10008,CIVIL,B,1,1,4,4,57,?
Shgcl_Qbiyb,10009,EEE,C,4,3,2,3,?,satisfied
Xsoqem_Lqrcnvq,10010,ECE,B,4,1,5,3,94,satisfied
Thxjyk_Kfoes,10011,MECH,?,4,5,?,1,90,satisfied
Uzzev_Zwcvd,10012,EEE,C,3,1,1,2,66,dissatisfied
Flrtisp_Gaakx,10013,?,A,2,5,3,?,73,satisfied
Vwyypxma_Vfjneqjk,10014,MECH,B,4,5,3,1,77,satisfied
Ymchqzw_Fpsxfvqi,10015,CIVIL,A,3,3,5,5,77,satisfied
Txjxohjg_Ekuwd,10016,EEE,C,1,5,5,4,?,satisfied
Gdybge_Wxnnq,10017,EEE,A,1,1,1,2,62,dissatisfied
?,10018,CIVIL,B,2,2,5,5,79,satisfied
Eismr_Rsblok,10019,ECE,A,5,1,5,2,84,satisfied
Wlnkeb_Nswelm,10020,ECE,B,1,5,2,3,69,dissatisfied
Uafdgom_Pihnkuk,10021,MECH,B,2,3,1,3,58,dissatisfied
Zlfuela_Rdciz,10022,CIVIL,B,2,2,2,2,82,dissatisfied
Vethcxp_Iaylikz,10023,ECE,C,2,1,2,?,70,dissatisfied
Hageq_Vwmmrtxn,10024,MECH,C,1,3,5,3,78,satisfied
Kcmbq_Bhddc,10025,ECE,A,4,1,1,5,76,dissatisfied
Roeqwoe_Twwtm,10026,EEE,C,3,1,1,4,98,dissatisfied
Srmvhgg_Ekroeusz,10027,CSE,B,5,3,1,1,69,dissatisfied
Ypizdsn_Djkavws,10028,CIVIL,C,5,3,4,2,67,satisfied
Pmostv_Gcermvbi,10029,CIVIL,A,3,2,4,5,97,satisfied
Bbbgpws_Sxpvjt,10030,CSE,A,2,4,2,4,76,satisfied
?,10031,MECH,B,5,5,1,2,98,satisfied
?,10032,EEE,A,?,?,1,3,97,satisfied
Rntzk_Kmtfbb,10033,ECE,A,3,5,1,2,82,dissatisfied
Reswwx_Rxcgorx,10034,CIVIL,B,3,2,3,1,67,dissatisfied
Xefgfykk_Xuyft,10035,CIVIL,A,5,4,4,2,98,satisfied
Ohphw_Hpgdkx,10036,CSE,A,1,2,1,1,74,dissatisfied
Zngii_Drrtaeaw,10037,EEE,C,2,2,?,1,66,dissatisfied
Wbfrake_Zebktfs,10038,EEE,C,2,1,1,2,63,dissatisfied
Ahzcgqnm_Rueoqoo,10039,CIVIL,C,?,4,4,1,81,satisfied
Ourrygrh_Lzvpu,10040,MECH,C,3,5,1,1,90,dissatisfied
Lsdloe_Oxypifj,10041,MECH,?,5,1,1,3,52,dissatisfied
Agufvjsj_Jsrnbjih,10042,CSE,C,2,1,4,1,95,dissatisfied
Lapwrzi_Sxoypbi,10043,CIVIL,C,4,1,4,2,88,dissatisfied
Rzxlj_Gbisic,10044,CIVIL,A,1,2,3,3,71,dissatisfied
Qkfmbrw_Hoqwgrn,10045,ECE,C,3,4,2,4,71,satisfied
Nedaq_Fzigt,10046,MECH,B,4,?,?,5,61,satisfied
Lciguvd_Pyntccb,10047,CIVIL,A,1,1,2,5,65,dissatisfied
Oqniyggj_Freybhff,10048,CIVIL,B,1,4,5,1,58,dissatisfied
Oubiq_Ourqwde,10049,CIVIL,C,2,3,3,2,83,dissatisfied
Wkgfbicz_Uitlib,10050,ECE,C,1,5,2,4,63,satisfied
?,10051,EEE,C,1,1,5,4,?,dissatisfied
Iuiibzlv_Imktvds,10052,ECE,B,2,3,5,1,69,dissatisfied
Exybawp_Cbheii,10053,EEE,A,2,2,4,4,82,satisfied
Olegwu_Svweskqd,10054,ECE,C,3,1,2,5,66,dissatisfied
Jjdnsl_Iphtzvdx,10055,MECH,B,2,3,3,2,53,dissatisfied
Fnixemr_Xmnur,10056,EEE,C,4,5,3,1,66,satisfied
Kznmswh_Ekvubbr,10057,MECH,C,3,5,5,2,85,satisfied
Foivu_Avkqu,10058,ECE,A,5,1,3,4,77,satisfied
Zlfinro_Flqrrn,10059,CIVIL,A,4,4,5,1,61,satisfied
Vkhcgn_Miwxbzeh,10060,MECH,B,2,?,4,3,73,satisfied
Nkrwbl_Zgeutuy,10061,MECH,?,4,5,5,5,?,highly_satisfied
Ldrzeoil_Ruhwt,10062,EEE,B,4,2,1,1,67,dissatisfied
Jpjbcij_Ndwttry,10063,CIVIL,B,4,3,5,3,86,satisfied
Pspudqu_Etreixkj,10064,MECH,A,1,3,1,5,98,dissatisfied
Mqxdcr_Wxkhg,10065,CIVIL,A,4,3,4,5,50,satisfied
Vyvutzk_Hthcx,10066,MECH,B,4,3,3,1,81,dissatisfied
Wamqgvp_Aymxxp,10067,CIVIL,C,1,3,4,1,70,dissatisfied
Eubthyzs_Wbvqv,10068,?,B,3,1,5,4,73,satisfied
Dgidkh_Iwvod,10069,ECE,A,4,1,4,3,71,satisfied
Irgvzic_Nyvquiv,10070,CSE,C,?,2,4,4,84,satisfied
Sbirfdb_Sjwef,10071,?,B,5,2,4,2,78,satisfied
Lyvsqt_Pidlm,10072,CIVIL,B,5,3,4,4,85,satisfied
Cgapza_Unxhkk,10073,CSE,A,4,3,1,3,?,dissatisfied
Bjrlafby_Qcsvdaq,10074,CSE,B,1,3,3,2,54,dissatisfied
Gbwauc_Vmzqxem,10075,CSE,B,3,2,3,3,57,dissatisfied
Rxbvjn_Mvbesuz,10076,MECH,B,3,3,5,3,88,satisfied
Ykyxbsp_Egdpdibp,10077,EEE,C,3,1,5,2,?,dissatisfied
Hukyvw_Ngcgnfn,10078,ECE,C,5,5,4,5,78,highly_satisfied
Auviqsuk_Wyqaqf,10079,CSE,A,2,1,2,1,?,dissatisfied
Cfjjrl_Dblvuv,10080,ECE,B,2,4,1,5,56,satisfied
Wwdrgxi_Qabbert,10081,CIVIL,A,2,1,5,1,69,dissatisfied
Ujfjqd_Laqpc,10082,MECH,B,1,1,2,1,71,dissatisfied
Fpwywar_Htqlgp,10083,?,A,4,4,1,3,67,?
Fbwou_Exlrgk,10084,ECE,B,?,2,2,3,69,dissatisfied
Yvbewug_Fzrnaxfr,10085,CSE,A,4,1,1,5,61,dissatisfied
Bktcpkl_Ayqqj,10086,ECE,?,1,4,?,3,60,satisfied
Rxchqgpq_Ztxthce,10087,CIVIL,A,5,3,2,5,66,satisfied
Palxpst_Muxycui,10088,CSE,C,5,5,5,1,56,satisfied
Nlddcj_Ftdwxk,10089,CIVIL,A,4,2,4,2,54,satisfied
Nerypj_Dmryz,10090,CSE,C,3,4,4,2,89,satisfied
Mmmkltrc_Bqzfb,10091,?,A,1,1,2,4,87,dissatisfied
Xrppdot_Wmcwike,10092,MECH,B,2,1,3,5,93,dissatisfied
Ineevjlg_Yjgjbs,10093,MECH,C,1,5,3,1,74,dissatisfied
Julnyi_Hiiblhpr,10094,ECE,C,1,3,1,4,81,dissatisfied
Uirkcdtp_Wvradrp,10095,ECE,B,1,3,2,4,65,dissatisfied
Bmvivhx_Oxqyu,10096,CIVIL,B,2,2,3,5,78,satisfied
Uyqwe_Bdyfzsu,10097,MECH,A,4,4,2,2,50,satisfied
Efskiqd_Rmycrz,10098,EEE,B,3,3,5,4,69,satisfied
Ayjig_Sxcsizd,10099,ECE,B,1,4,1,4,98,dissatisfied
Lusjquoa_Fpuhd,10100,EEE,B,5,3,2,3,70,satisfied
Rmkbc_Unopaptt,10101,ECE,B,2,3,3,2,81,dissatisfied
Sdgqtto_Wyyypaa,10102,?,A,4,1,2,1,99,?
Aspiuqvb_Sornpdls,10103,EEE,B,5,4,2,1,84,satisfied
Pvrppidc_Pkbssri,10104,MECH,C,3,2,4,3,89,satisfied
Kswjn_Qbfgo,10105,CSE,C,2,5,2,3,93,satisfied
Ppnwrnwl_Bbkukbhc,10106,CSE,B,4,3,5,3,57,satisfied
Gculuds_Qynhuimv,10107,ECE,C,5,3,4,1,90,satisfied
Ueblsomh_Lqmojmvh,10108,CIVIL,A,3,3,5,4,86,satisfied
Zvufujyn_Mkbpazp,10109,CIVIL,A,2,5,2,1,?,dissatisfied
Ourpijxf_Bgori,10110,ECE,A,1,2,1,?,96,dissatisfied
Cnwqkm_Shcmipwt,10111,ECE,C,5,1,1,2,91,dissatisfied
Njlozbss_Oqbhghpz,10112,CSE,C,2,3,3,3,92,dissatisfied
Idsqy_Tzvrtxxn,10113,EEE,B,4,2,2,4,72,satisfied
Cevcp_Ckgtskf,10114,CSE,C,4,5,5,5,58,highly_satisfied
Bnaceh_Vdqgp,10115,CIVIL,B,1,5,5,4,98,satisfied
Mpenyejd_Krccxk,10116,CSE,C,?,2,4,?,92,dissatisfied
Rywsg_Xgqfror,10117,EEE,B,5,1,1,2,80,dissatisfied
Ckbjasi_Xchjxr,10118,ECE,C,5,5,1,2,85,satisfied
Qfyab_Rjmkmnpw,10119,ECE,C,3,4,5,1,?,satisfied
Rhzfdlr_Zoxan,10120,MECH,A,5,1,1,5,67,satisfied
Ezasjqo_Ztoqi,10121,MECH,A,1,2,2,4,75,dissatisfied
Dbkrba_Vxuuylm,10122,CIVIL,B,2,2,4,3,91,dissatisfied
Mneiscqc_Hokimnr,10123,MECH,A,2,5,3,3,99,satisfied
?,10124,CSE,A,5,2,3,2,79,?
Rudpsvt_Jlhymh,10125,ECE,A,2,5,4,1,88,satisfied
Pfukrci_Ivugiz,10126,CSE,C,1,1,4,3,?,dissatisfied
Tutgb_Iyfdpi,10127,CSE,B,1,2,5,5,56,satisfied
?,10128,CSE,B,2,3,?,2,72,?
Xsvmncp_Wrudeh,10129,ECE,A,4,3,5,4,63,satisfied
Qfkbcvkx_Mietfvtw,10130,MECH,C,5,4,5,5,54,highly_satisfied
Caaydssd_Oqxxuipz,10131,ECE,C,4,5,4,2,68,satisfied
Kzoczyv_Xtjetoij,10132,MECH,C,3,1,1,3,93,dissatisfied
Jsgzx_Vmmtk,10133,MECH,B,1,3,1,1,56,dissatisfied
Tbjjillk_Kqbxre,10134,EEE,B,?,4,1,2,100,satisfied
Vhuueb_Nsdxosv,10135,ECE,C,3,2,5,?,51,satisfied
Kdhkgd_Wnsxum,10136,CIVIL,B,1,3,4,2,55,dissatisfied
?,10137,CIVIL,A,1,1,2,4,79,?
Vvved_Ztmwdb,10138,CIVIL,C,2,5,5,2,86,satisfied
Kdhukjps_Ilmua,10139,CIVIL,B,5,5,1,5,64,satisfied
Ghbfos_Qpfjrx,10140,CIVIL,C,4,5,5,4,60,highly_satisfied
Umhpjnyu_Uhfxs,10141,CIVIL,C,1,2,4,1,82,dissatisfied
Vrqgug_Utaadv,10142,ECE,B,2,3,5,3,57,satisfied
